row_id	module	rung	section	member	status	detail	control_flags	file	note_chars	source_chars
sava/sava-core#54#Jex.decodePrimIterChecked	sava/sava-core	3	Triaged equivalent mutants (accepted with reasons)	Jex.decodePrimIterChecked	RESOLVED	2 declaration(s)		sava-core/src/main/java/software/sava/core/encoding/Jex.java	331	1653
sava/sava-core#57#TokenMetadata.read	sava/sava-core	3	Triaged equivalent mutants (accepted with reasons)	TokenMetadata.read	RESOLVED	1 declaration(s)		sava-core/src/main/java/software/sava/core/accounts/token/extensions/TokenMetadata.java	313	2497
sava/sava-core#67#Token2022.parseExtensions	sava/sava-core	3	Triaged equivalent mutants (accepted with reasons)	Token2022.parseExtensions	RESOLVED	1 declaration(s)		sava-core/src/main/java/software/sava/core/accounts/token/Token2022.java	309	4258
sava/sava-core#70#Codec.decode32	sava/sava-core	3	Triaged equivalent mutants (accepted with reasons)	Codec.decode32	RESOLVED	2 declaration(s)		sava-core/src/main/java/software/sava/core/crypto/ed25519/Codec.java	377	570
sava/sava-core#70#Ed25519Util.pack25519	sava/sava-core	3	Triaged equivalent mutants (accepted with reasons)	Ed25519Util.pack25519	RESOLVED	1 declaration(s)		sava-core/src/main/java/software/sava/core/crypto/ed25519/Ed25519Util.java	377	701
sava/sava-rpc#258#RpcCustomError.parseError	sava/sava-rpc	3	Triaged equivalent mutants (accepted with reasons)	RpcCustomError.parseError	RESOLVED	3 declaration(s)	identifier_missing:ParseCustomErrorCodeTests	sava-rpc/src/main/java/software/sava/rpc/json/http/response/RpcCustomError.java	615	1374
sava/sava-rpc#267#ByteUtilTests.toUnsignedBigIntegerAgreesWithValueOfWhereCallersBranch	sava/sava-rpc	3	Triaged equivalent mutants (accepted with reasons)	ByteUtilTests.toUnsignedBigIntegerAgreesWithValueOfWhereCallersBranch	MISSING_TYPE	no such type at HEAD or at ccd7010	member_missing		611	0
sava/sava-rpc#267#Lamports.amount	sava/sava-rpc	3	Triaged equivalent mutants (accepted with reasons)	Lamports.amount	RESOLVED	1 declaration(s)		sava-rpc/src/main/java/software/sava/rpc/json/http/response/Lamports.java	611	168
sava/sava-rpc#275#JsonUtil.parseEncodedData	sava/sava-rpc	3	Triaged equivalent mutants (accepted with reasons)	JsonUtil.parseEncodedData	RESOLVED	4 declaration(s)		sava-rpc/src/main/java/software/sava/rpc/json/http/response/JsonUtil.java	467	668
sava/sava-rpc#281#JsonUtil.parseEncodedData	sava/sava-rpc	3	Triaged equivalent mutants (accepted with reasons)	JsonUtil.parseEncodedData	RESOLVED	4 declaration(s)	identifier_missing:reset identifier_missing:skipRestOfArray identifier_missing:mark2 identifier_missing:skippedValuesLeaveTheIteratorAligned	sava-rpc/src/main/java/software/sava/rpc/json/http/response/JsonUtil.java	614	668
sava/sava-rpc#290#JsonUtil.parseEncodedData	sava/sava-rpc	3	Triaged equivalent mutants (accepted with reasons)	JsonUtil.parseEncodedData	RESOLVED	4 declaration(s)		sava-rpc/src/main/java/software/sava/rpc/json/http/response/JsonUtil.java	170	668
sava/sava-rpc#292#JsonUtil.toJsonIntArray	sava/sava-rpc	3	Triaged equivalent mutants (accepted with reasons)	JsonUtil.toJsonIntArray	RESOLVED	1 declaration(s)		sava-rpc/src/main/java/software/sava/rpc/json/http/response/JsonUtil.java	180	558
sava/sava-rpc#317#SolanaJsonRpcWebsocket.run	sava/sava-rpc	3	Timed-out mutants (audited set)	SolanaJsonRpcWebsocket.run	RESOLVED	1 declaration(s)		sava-rpc/src/main/java/software/sava/rpc/json/http/ws/SolanaJsonRpcWebsocket.java	304	920
http-servers/http-servers-jdk#33#JdkQueryHandler.handle	http-servers/http-servers-jdk	2	Audited timeouts (`dispatch-timeouts.csv`)	JdkQueryHandler.handle	RESOLVED	1 declaration(s)		http-servers-jdk/src/main/java/software/sava/http_servers/jdk/JdkQueryHandler.java	301	1196
http-servers/http-servers-jdk#37#JdkController.serverError	http-servers/http-servers-jdk	2	Audited timeouts (`dispatch-timeouts.csv`)	JdkController.serverError	REMOVED_MEMBER	existed at c166295, absent at HEAD	member_missing	http-servers-jdk/src/main/java/software/sava/http_servers/jdk/JdkController.java	325	503
http-servers/http-servers-jdk#37#JdkQueryHandler.lambda$handle$0	http-servers/http-servers-jdk	2	Audited timeouts (`dispatch-timeouts.csv`)	JdkQueryHandler.lambda$handle$0	RESOLVED	1 declaration(s)		http-servers-jdk/src/main/java/software/sava/http_servers/jdk/JdkQueryHandler.java	325	1196
http-servers/http-servers-jdk#41#JdkController.handle	http-servers/http-servers-jdk	2	Audited timeouts (`dispatch-timeouts.csv`)	JdkController.handle	RESOLVED	1 declaration(s)		http-servers-jdk/src/main/java/software/sava/http_servers/jdk/JdkController.java	294	1777
http-servers/http-servers-jdk#45#JdkHttpServer.start	http-servers/http-servers-jdk	2	Audited timeouts (`dispatch-timeouts.csv`)	JdkHttpServer.start	RESOLVED	1 declaration(s)		http-servers-jdk/src/main/java/software/sava/http_servers/jdk/JdkHttpServer.java	331	88
incident-client/incident-io#32#CreateIncidentRequestRecord.body	incident-client/incident-io	2	Untriaged debt	CreateIncidentRequestRecord.body	RESOLVED	1 declaration(s)	identifier_missing:bearerToken	incident-io/src/main/java/software/sava/incident/io/CreateIncidentRequestRecord.java	669	1549
incident-client/incident-io#32#IncidentIoConfig.createClientBuilder	incident-client/incident-io	2	Untriaged debt	IncidentIoConfig.createClientBuilder	RESOLVED	2 declaration(s)		incident-io/src/main/java/software/sava/incident/io/config/IncidentIoConfig.java	669	545
incident-client/incident-io#48#IncidentIoRequestException$Parser.create	incident-client/incident-io	2	Triaged equivalent mutants (accepted with reasons)	IncidentIoRequestException$Parser.create	RESOLVED	1 declaration(s)		incident-io/src/main/java/software/sava/incident/io/exceptions/IncidentIoRequestException.java	459	492
