row_id	module	suite	class	method	mutator	status	label	line	member_status	declarations	bodies_shown	paragraph_chars	swapped_mutator	word_real	word_swapped	identifiers_missing
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.mapTable#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#54	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	mapTable	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	residual sibling legs	54	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/sdk#sdk#VaultTableBuilderImpl.mapTable#RemoveConditionalMutator_EQUAL_IF#SURVIVED#54	glam-sdk-java/sdk	sdk	systems.glam.sdk.lut.VaultTableBuilderImpl	mapTable	RemoveConditionalMutator_EQUAL_IF	SURVIVED	residual sibling legs	54	RESOLVED	1	1	322	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#AccountFetcherImpl.createBatch#IncrementsMutator#SURVIVED#340	glam-sdk-java/services	services	systems.glam.services.rpc.AccountFetcherImpl	createBatch	IncrementsMutator	SURVIVED	accepted equivalent	340	RESOLVED	1	1	186	RemoveConditionalMutator_EQUAL_ELSE	false	false	BatchSqlExecutorImpl fill
glam-sdk-java/services#services#AccountFetcherImpl.createBatch#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#343	glam-sdk-java/services	services	systems.glam.services.rpc.AccountFetcherImpl	createBatch	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	accepted equivalent	343	RESOLVED	1	1	186	NullReturnValsMutator	false	false	BatchSqlExecutorImpl fill
glam-sdk-java/services#services#AccountFetcherImpl.delay#ConditionalsBoundaryMutator#SURVIVED#376	glam-sdk-java/services	services	systems.glam.services.rpc.AccountFetcherImpl	delay	ConditionalsBoundaryMutator	SURVIVED	accepted equivalent	376	RESOLVED	1	1	186	NullReturnValsMutator	false	false	BatchSqlExecutorImpl fill
glam-sdk-java/services#services#AccountFetcherImpl.lockedQueue#RemoveConditionalMutator_EQUAL_IF#SURVIVED#129	glam-sdk-java/services	services	systems.glam.services.rpc.AccountFetcherImpl	lockedQueue	RemoveConditionalMutator_EQUAL_IF	SURVIVED	accepted equivalent	129	RESOLVED	1	1	186	NullReturnValsMutator	false	false	BatchSqlExecutorImpl fill
glam-sdk-java/services#services#AccountFetcherImpl.queueBatchable#ConditionalsBoundaryMutator#SURVIVED#179	glam-sdk-java/services	services	systems.glam.services.rpc.AccountFetcherImpl	queueBatchable	ConditionalsBoundaryMutator	SURVIVED	accepted equivalent	179	RESOLVED	2	2	186	NullReturnValsMutator	false	false	BatchSqlExecutorImpl fill
glam-sdk-java/services#services#AccountFetcherImpl.run#RemoveConditionalMutator_EQUAL_IF#SURVIVED#446	glam-sdk-java/services	services	systems.glam.services.rpc.AccountFetcherImpl	run	RemoveConditionalMutator_EQUAL_IF	SURVIVED	accepted equivalent	446	RESOLVED	1	1	186	NullReturnValsMutator	false	false	BatchSqlExecutorImpl fill
glam-sdk-java/services#services#BatchSqlExecutorImpl.awaitBatchComplete#RemoveConditionalMutator_EQUAL_IF#SURVIVED#204	glam-sdk-java/services	services	systems.glam.services.db.sql.BatchSqlExecutorImpl	awaitBatchComplete	RemoveConditionalMutator_EQUAL_IF	SURVIVED	accepted equivalent	204	RESOLVED	1	1	186	NullReturnValsMutator	false	false	AccountFetcherImpl fill
glam-sdk-java/services#services#BatchSqlExecutorImpl.queue#RemoveConditionalMutator_EQUAL_ELSE#SURVIVED#266	glam-sdk-java/services	services	systems.glam.services.db.sql.BatchSqlExecutorImpl	queue	RemoveConditionalMutator_EQUAL_ELSE	SURVIVED	accepted equivalent	266	RESOLVED	1	1	186	NullReturnValsMutator	false	false	AccountFetcherImpl fill
glam-sdk-java/services#services#BatchSqlExecutorImpl.queue#RemoveConditionalMutator_ORDER_IF#SURVIVED#266	glam-sdk-java/services	services	systems.glam.services.db.sql.BatchSqlExecutorImpl	queue	RemoveConditionalMutator_ORDER_IF	SURVIVED	accepted equivalent	266	RESOLVED	1	1	186	NullReturnValsMutator	false	false	AccountFetcherImpl fill
glam-sdk-java/services#services#BatchSqlExecutorImpl.run#ConditionalsBoundaryMutator#SURVIVED#115	glam-sdk-java/services	services	systems.glam.services.db.sql.BatchSqlExecutorImpl	run	ConditionalsBoundaryMutator	SURVIVED	accepted equivalent	115	RESOLVED	1	1	186	NullReturnValsMutator	false	false	AccountFetcherImpl
