batch_id	repo	commit	path	candidates_shown	candidates_total	positives	changed_members	diff_chars
json-iterator#d6e00fa#json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java	json-iterator	d6e00fad877cfeef6049ea62ac23db09063be07f	json-iterator/src/main/java/systems/comodal/jsoniter/BytesJsonIterator.java	3	3	0	1	1171
json-iterator#db15a1b#json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java	json-iterator	db15a1b4aad9e15c0b642b1666a94db0ae5d106a	json-iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java	20	23	0	3	1113
json-iterator#eb87b90#systems.comodal.json_iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java	json-iterator	eb87b902388d02f4ef950c188bd9bb25b0bdafc0	systems.comodal.json_iterator/src/main/java/systems/comodal/jsoniter/JsonIterator.java	2	2	0	2	283
ravina#5578c86#ravina-solana/src/main/java/software/sava/services/solana/epoch/EpochInfoServiceImpl.java	ravina	5578c860084d55d1db11c67b812d2711bcd2d9e8	ravina-solana/src/main/java/software/sava/services/solana/epoch/EpochInfoServiceImpl.java	5	5	0	2	1206
ravina#5578c86#ravina-solana/src/main/java/software/sava/services/solana/epoch/SlotPerformanceStats.java	ravina	5578c860084d55d1db11c67b812d2711bcd2d9e8	ravina-solana/src/main/java/software/sava/services/solana/epoch/SlotPerformanceStats.java	6	6	0	1	598
ravina#e88e05b#ravina-solana/src/main/java/software/sava/services/solana/transactions/TxMonitorService.java	ravina	e88e05b6814a5ac384feabc335894f9e8a5a052b	ravina-solana/src/main/java/software/sava/services/solana/transactions/TxMonitorService.java	2	2	0	1	628
http-servers#430e6d0#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactSettler.java	http-servers	430e6d0839fa3674806b3e95da51d323f73c9665	http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactSettler.java	4	4	0	1	1722
http-servers#696ce3c#http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactVerifier.java	http-servers	696ce3c6a5c3366e125796391038a9cfe92089b0	http-servers-sava/src/main/java/software/sava/http_servers/sava/x402/SvmExactVerifier.java	2	2	0	1	1702
incident-client#00a96ee#incident-webhook/src/main/java/software/sava/incident/webhook/BaseWebhookIncidentClientFactory.java	incident-client	00a96eef9cd7617d092d3f5be9fc7dcc0d85920b	incident-webhook/src/main/java/software/sava/incident/webhook/BaseWebhookIncidentClientFactory.java	1	1	0	1	191
incident-client#00a96ee#incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java	incident-client	00a96eef9cd7617d092d3f5be9fc7dcc0d85920b	incident-webhook/src/main/java/software/sava/incident/webhook/WebhookFormats.java	3	3	1	1	337
incident-client#0c778ee#incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java	incident-client	0c778ee5bde9e1de93e35679d83a8aa9246986cb	incident-core/src/main/java/software/sava/incident/core/json/JsonUtil.java	2	2	2	2	419
incident-client#61c84ba#incident-core/src/main/java/software/sava/incident/core/api/IncidentClients.java	incident-client	61c84ba74cdf1e2927097d051b3ab5f14fa35ac5	incident-core/src/main/java/software/sava/incident/core/api/IncidentClients.java	1	1	0	1	904
glam-sdk-java#9278933#services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java	glam-sdk-java	92789332d7d51f2a4ff5ea6513228063b1e4a335	services/src/main/java/systems/glam/services/rpc/AccountFetcherImpl.java	3	3	0	1	1574
glam-sdk-java#bb830ff#services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java	glam-sdk-java	bb830ff4060fa2af30fd8d273d4325ce60edaf30	services/src/main/java/systems/glam/services/db/sql/BatchSqlExecutorImpl.java	5	5	0	1	623
